run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
24-w,web,1,1,1,2,1,9.42986992451623,2.18295642344869,2.45070157662667,-1.23767324494238
25-w,web,1,1,1,8,1,11.5239784227277,2.20653821820453,4.04850460454827,-1.237183591324
26-w,web,1,1,0,8,2,11.5277392725824,2.18512754442397,4.04936792330878,-1.23886007827611
27-w,web,1,0,1,2,2,9.27450706046363,2.185114920814,2.45324815395704,-1.23945421707202
28-w,web,1,0,0,2,2,9.42047072577602,2.1862258349101,2.45318431405716,-1.23556233518263
29-w,web,1,0,0,8,3,11.5012448114294,2.18349917729721,4.04894505532004,-1.24180968845602
3-w,web,1,0,0,8,3,11.7477745718604,2.16702246606805,4.03129677979233,-1.2261372084979
30-w,web,1,0,1,8,2,11.5786003824253,2.18430702956671,4.04748419108666,-1.24589152500918
31-w,web,1,1,0,8,2,11.5666333175878,2.18458473778689,4.04813348657816,-1.24349684002285
32-w,web,1,0,1,8,1,11.4989553842641,2.18810698240156,4.04756286838936,-1.24274362757416
33-w,web,1,0,1,2,2,9.29405613958332,2.18295642344869,2.45675287767395,-1.29146988943406
34-w,web,1,0,0,2,3,9.30604223003786,2.1872736963905,2.46010938762742,-1.29130292535782
35-w,web,1,0,1,2,1,9.26511540931205,2.18295642344869,2.45956068626654,-1.29135857544843
36-w,web,1,0,0,2,1,9.30879586309375,2.1916678527326,2.46060622291974,-1.29005201217164
37-w,web,1,0,0,8,3,11.5535982286341,2.18458473778689,4.05316325347206,-1.29185963345503
38-w,web,1,0,1,2,3,9.26793855948281,2.185114920814,2.45507854127911,-1.2864512213563
39-w,web,1,0,0,8,1,11.5374804498462,2.18757670469276,4.05376118288798,-1.29027422714036
4-w,web,1,1,1,2,2,9.27637895087683,2.18078558407772,2.43053920763485,-1.24458908535884
40-w,web,1,0,1,2,1,9.26699804968014,2.18948325755681,2.45838817935518,-1.2908578901294
41-w,web,1,0,0,2,3,9.30420390480953,2.1916678527326,2.45615725887516,-1.28758478877744
42-w,web,1,1,1,2,1,9.26699804968014,2.18948325755681,2.45579887725751,-1.28935806167426
43-w,web,1,0,0,2,2,9.27450706046363,2.18618796162574,2.45617452748629,-1.29038536208813
44-w,web,1,1,0,2,3,9.2603993240013,2.19482528451586,2.46310760228747,-1.2921660194098
45-w,web,1,0,0,8,1,11.5048002931861,2.19001359555876,4.0540714227756,-1.29174825497941
46-w,web,1,0,1,8,2,11.5970040757001,2.1927286835896,4.05345599028528,-1.28830462034199
47-w,web,1,1,1,8,1,11.5007363045584,2.19680845505408,4.05358411202562,-1.29080228139512
48-w,web,1,0,0,8,1,11.5249820934738,2.1908091339972,4.05353941328189,-1.28855397130348
49-w,web,1,1,1,8,1,11.5897621314149,2.18674344504268,4.05327631277118,-1.28844313730583
